,Coin,Symbol,Date,days_ago,total_vol_usd,USD,EUR,HKD
0,Dogecoin,DOGE,2021-03-19,0,4399443852.861352,0.06192773101486665,0.05204561287588335,0.4807109156163519
1,Dogecoin,DOGE,2021-03-18,1,3627421088.7573156,0.06168427419268369,0.05180830627292032,0.4792405472715084
2,Dogecoin,DOGE,2021-03-17,2,3430333609.0870194,0.05882799777920147,0.04929616829589027,0.45667527568018546
3,Dogecoin,DOGE,2021-03-16,3,3342539175.644199,0.05875988176513803,0.049226209637675766,0.4563380557703265
4,Dogecoin,DOGE,2021-03-15,4,3048336602.085827,0.05867431947483034,0.0491858404297352,0.4556207593019261
5,Dogecoin,DOGE,2021-03-14,5,2759123151.6855946,0.05843947388318159,0.04891763820602539,0.4538497200978702
6,Dogecoin,DOGE,2021-03-13,6,2723241990.437684,0.058368718899507586,0.048717159385879484,0.4532465270600237
7,Dogecoin,DOGE,2021-03-12,7,2529486917.6853743,0.057867249937040455,0.048638175846331705,0.4491649574715585
8,Dogecoin,DOGE,2021-03-11,8,2469967978.237412,0.0576435887153614,0.048371905688439104,0.4476024663747816
9,Dogecoin,DOGE,2021-03-10,9,2366851289.091933,0.057061547877248625,0.04769382098233621,0.44249803840109414
10,Dogecoin,DOGE,2021-03-09,10,1908931773.5006745,0.05688203258836793,0.047127762963771025,0.4416633861340121
11,Dogecoin,DOGE,2021-03-08,11,1862673178.0345356,0.05661248073295166,0.046886446782873376,0.4389210921210334
12,Dogecoin,DOGE,2021-03-07,12,1743281980.1706939,0.05619747315649827,0.0466931591945679,0.43617899200056093
13,Dogecoin,DOGE,2021-03-06,13,1677010512.2692254,0.05594963459004946,0.046686840935966145,0.4340863589595907
14,Dogecoin,DOGE,2021-03-05,14,1652399316.0636256,0.05549877783784476,0.04610447088214599,0.4302872969607043
15,Dogecoin,DOGE,2021-03-04,15,1576893240.5192816,0.05513466693712448,0.045799034440013285,0.42779318440069125
16,Dogecoin,DOGE,2021-03-03,16,1561141043.921425,0.055110588074730384,0.04549723742584904,0.4274643105568855
17,Dogecoin,DOGE,2021-03-02,17,1478258321.6618836,0.05353195321298536,0.04399587813153055,0.41505534195695215
18,Dogecoin,DOGE,2021-03-01,18,1451939102.7613668,0.05184125840500301,0.04348444755011654,0.4025012327948677
19,Dogecoin,DOGE,2021-02-28,19,1424572957.2149425,0.05102062594467058,0.04270054741149938,0.3957134237955679
20,Dogecoin,DOGE,2021-02-27,20,1390253342.513301,0.05088238385261625,0.04234604810093172,0.3950180090941274
21,Dogecoin,DOGE,2021-02-26,21,1358502535.7129877,0.05086647416115915,0.042135549070241134,0.39454580683103097
22,Dogecoin,DOGE,2021-02-25,22,1349377295.2230818,0.05075263290909236,0.04211539758272428,0.3936512255590719
23,Dogecoin,DOGE,2021-02-24,23,1337710788.1295414,0.050567540137202736,0.0419044604493629,0.3922779454520507
24,Dogecoin,DOGE,2021-02-23,24,1233795413.868452,0.05054394010631582,0.04189481728612297,0.39204407143463865
25,Dogecoin,DOGE,2021-02-22,25,1081897762.402383,0.05021680189508614,0.041868477138587525,0.38938560140666856
26,Dogecoin,DOGE,2021-02-21,26,1047381848.0310332,0.05014300657217839,0.041843880950433225,0.38908390735171944
27,Dogecoin,DOGE,2021-02-20,27,1014195811.4370382,0.04992226806941722,0.04129990481617948,0.38756428942805093
28,Dogecoin,DOGE,2021-02-19,28,990194953.9514719,0.04823567257841363,0.039904793096050634,0.3741510885591586
29,Dogecoin,DOGE,2021-02-18,29,989940708.869474,0.0474995538856427,0.039086147904094294,0.36830489089172963
